	      Time	     dPmax	     dVmax	     dSmax	     dNmax	     CFL
	     255.6	  0.733824	1.23636e-05	0.000242019	 0.0100085	  0.187819
	     255.7	  0.733712	1.11232e-05	0.000241959	 0.0100422	  0.187832
	     255.8	  0.733598	1.00068e-05	0.000241898	 0.0100726	  0.187845
	     255.9	  0.733482	9.33529e-06	0.000241836	 0.0100998	  0.187858
	       256	  0.733365	1.31487e-05	0.000241771	 0.0101237	  0.187871
	     256.1	   0.73321	1.18315e-05	0.000241705	 0.0101446	  0.187884
	     256.2	  0.733055	1.18055e-05	0.000241638	 0.0101625	  0.187897
	     256.3	  0.675699	1.06206e-05	0.000241568	 0.0101775	   0.18791
	     256.4	   0.67593	9.55416e-06	0.000241506	 0.0101897	  0.187923
	     256.5	  0.676159	9.41524e-06	0.000241435	 0.0101992	  0.187935
	     256.6	  0.676387	9.42537e-06	0.000241359	 0.0102061	  0.187948
	     256.7	  0.676613	9.43858e-06	0.000241306	 0.0102104	   0.18796
	     256.8	  0.676837	9.4503e-06	0.000241228	 0.0102124	  0.187973
	     256.9	  0.677059	1.12845e-05	0.000241144	 0.0102119	  0.187985
	       257	   0.67728	1.01539e-05	0.000241056	 0.0102092	  0.187997
	     257.1	  0.677499	9.59345e-06	0.000240966	 0.0102044	  0.188008
	     257.2	  0.677717	9.48498e-06	0.000240875	 0.0101974	   0.18802
	     257.3	  0.677933	9.49121e-06	0.000240783	 0.0101884	  0.188032
	     257.4	  0.678147	1.0271e-05	0.000240689	 0.0101775	  0.188043
	     257.5	  0.678359	1.46507e-05	0.000240595	 0.0101648	  0.188054
	     257.6	  0.678568	1.36392e-05	0.000240499	 0.0101503	  0.188065
	     257.7	  0.678776	1.22308e-05	0.000240402	  0.010134	  0.188076
	     257.8	  0.678982	1.09682e-05	0.000240303	 0.0101162	  0.188086
	     257.9	  0.679187	9.86853e-06	0.000240204	 0.0100967	  0.188097
	       258	  0.679391	9.51915e-06	0.000240103	  0.357071	  0.188107
	     258.1	  0.679533	4.58367e-05	0.000238725	  0.296761	    0.1881
	     258.2	  0.679739	8.9711e-05	0.000238148	  0.261398	  0.188107
