The 1th Row
	      TIME	    NRiter	    LSiter	       FPR	      FOPR	      FOPT	      FGPR	      FGPT	      FWPR	      FWPT
	       DAY	          	          	      PSIA	   STB/DAY	       STB	  MSCF/DAY	      MSCF	   STB/DAY	       STB
	          	          	          	          	          	          	          	          	          	          
	       377	       138	       733	   3001.99	   28551.1	1.03198e+07	   99714.4	3.23875e+07	   2836.25	    536404
	       385	       142	       755	   2988.17	   27798.1	1.05422e+07	    108927	3.32589e+07	   3023.15	    560590
	       395	       145	       792	   2969.65	   26834.1	1.08105e+07	    118771	3.44466e+07	   2923.82	    589828
	       405	       147	       816	   2950.44	   25876.4	1.10693e+07	    124682	3.56934e+07	   2954.52	    619373
	       415	       149	       829	   2930.85	     24946	1.13187e+07	    128150	3.69749e+07	   2983.46	    649208
	       420	       150	       834	   2920.98	   24521.6	1.14413e+07	    129998	3.76249e+07	   2995.33	    664184
	       421	       151	       838	   2919.02	   24443.5	1.14658e+07	    130013	3.77549e+07	   3005.36	    667190
	       423	       152	       843	   2915.05	   24278.8	1.15143e+07	    130527	3.8016e+07	   3009.85	    673209
	       427	       153	       849	   2907.07	   23970.9	1.16102e+07	    131379	3.85415e+07	   3022.44	    685299
	       435	       154	       855	   2890.97	   23402.4	1.17974e+07	    132496	3.96015e+07	    3047.1	    709676
	       445	       155	       867	   2870.84	     22685	1.20243e+07	    132806	4.09295e+07	   3022.52	    739901
	       455	       156	       872	   2850.92	     21991	1.22442e+07	    132197	4.22515e+07	    2955.4	    769455
	       465	       158	       890	    2831.3	   21285.5	1.24571e+07	    130881	4.35603e+07	   2906.92	    798524
	       475	       159	       900	   2811.95	   20530.7	1.26624e+07	    128244	4.48427e+07	   2866.42	    827188
	       480	       160	       904	   2802.46	   20157.5	1.27632e+07	    127006	4.54778e+07	   2846.84	    841422
	       481	       161	       907	   2800.57	   20074.3	1.27832e+07	    126755	4.56045e+07	   2840.44	    844263
	       483	       162	       910	   2796.77	   19825.5	1.28229e+07	    126194	4.58569e+07	   2860.67	    849984
	       487	       163	       914	   2789.22	   19640.8	1.29014e+07	    125801	4.63601e+07	   2889.81	    861544
	       495	       165	       921	   2774.33	   19168.2	1.30548e+07	    124038	4.73524e+07	   2906.74	    884797
	       505	       166	       925	   2756.02	   18577.2	1.32406e+07	    121756	 4.857e+07	   2926.13	    914059
	       515	       167	       929	   2738.14	   18091.8	1.34215e+07	    119397	4.97639e+07	    2924.6	    943305
	       525	       168	       937	   2720.62	   17618.1	1.35977e+07	    116865	5.09326e+07	   2906.58	    972371
	       535	       169	       945	   2703.59	   17094.7	1.37686e+07	    113744	 5.207e+07	   2883.34	1.0012e+06
	       540	       170	       948	   2695.23	     16846	1.38528e+07	    112312	5.26316e+07	   2870.65	1.01556e+06
	       541	       171	       950	   2693.56	   16794.7	1.38696e+07	    112013	5.27436e+07	    2866.7	1.01842e+06
	       543	       172	       953	   2690.23	   16700.5	1.3903e+07	    111438	5.29665e+07	      2862	1.02415e+06
	       547	       173	       956	   2683.63	   16520.4	1.39691e+07	    110345	5.34079e+07	   2852.61	1.03556e+06
	       555	       174	       960	   2670.64	     16186	1.40986e+07	    108275	5.42741e+07	   2832.85	1.05822e+06
	       565	       175	       964	   2654.76	   15801.9	1.42566e+07	    105881	5.53329e+07	   2807.88	1.0863e+06
	       575	       176	       968	   2639.24	   15437.1	1.4411e+07	    103636	5.63692e+07	   2784.81	1.11415e+06
	       585	       177	       972	   2624.06	   15099.5	1.4562e+07	    101509	5.73843e+07	   2761.17	1.14176e+06
	       595	       178	       976	   2609.18	   14782.9	1.47098e+07	   99486.1	5.83792e+07	   2740.88	1.16917e+06
	       600	       179	       979	   2601.86	   14633.8	1.4783e+07	   98633.8	5.88724e+07	   2733.01	1.18283e+06
	       601	       180	       981	   2600.41	   14599.4	1.47976e+07	   98412.4	5.89708e+07	   2729.49	1.18556e+06
	       603	       181	       984	   2597.48	   14539.6	1.48267e+07	   98025.8	5.91668e+07	   2726.72	1.19102e+06
	       607	       182	       987	   2591.68	   14422.2	1.48844e+07	   97282.3	5.9556e+07	   2721.05	1.2019e+06
