==================================================
DX : feet


(*, 11,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*, 12,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*, 13,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*, 14,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*, 15,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*, 16,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*, 17,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*, 18,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*, 19,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*, 20,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*, 21,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*, 22,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*, 23,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*, 24,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*, 25,  1)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000


(*,  1,  2)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*,  2,  2)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*,  3,  2)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*,  4,  2)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*,  5,  2)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*,  6,  2)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
(*,  7,  2)   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000   300.00000
