The 1th Row
	      TIME	    NRiter	    LSiter	       FPR	      FOPR	      FOPT	      FGPR	      FGPT	      FWPR	      FWPT
	       DAY	          	          	      PSIA	   STB/DAY	       STB	  MSCF/DAY	      MSCF	   STB/DAY	       STB
	          	          	          	          	          	          	          	          	          	          
	      1549	       238	       704	   5228.21	   14276.5	2.95443e+07	    120164	1.11905e+08	0.00856153	   3.96657
	      1559	       239	       707	   5209.77	   14250.7	2.96868e+07	    119405	1.13099e+08	0.00990478	   4.06562
	      1569	       240	       710	   5191.67	     14148	2.98283e+07	    118885	1.14287e+08	0.00999797	    4.1656
	      1579	       241	       713	   5173.59	     14042	2.99687e+07	    118547	1.15473e+08	 0.0100757	   4.26636
	      1589	       242	       716	   5156.16	   13932.5	3.0108e+07	    118117	1.16654e+08	 0.0101657	   4.36801
	      1599	       243	       719	   5138.97	   13832.2	3.02463e+07	    117674	1.17831e+08	  0.010252	   4.47053
	      1609	       244	       722	   5122.17	   13735.9	3.03837e+07	    117241	1.19003e+08	  0.010335	   4.57388
	      1619	       245	       725	    5105.3	   13642.5	3.05201e+07	    116812	1.20171e+08	 0.0104159	   4.67804
	      1629	       246	       728	   5088.99	   13552.7	3.06556e+07	    116391	1.21335e+08	 0.0104942	   4.78298
	      1639	       247	       731	   5073.05	   13466.1	3.07903e+07	    115981	1.22495e+08	 0.0105697	   4.88868
	      1649	       248	       734	   5057.52	   13382.8	3.09241e+07	    115586	1.23651e+08	 0.0106419	    4.9951
	      1659	       249	       737	    5042.3	   13301.2	3.10571e+07	    115206	1.24803e+08	 0.0107117	   5.10222
	      1669	       250	       740	   5027.34	   13220.6	3.11893e+07	    114839	1.25951e+08	 0.0107795	   5.21001
	      1679	       251	       743	    5012.8	   13143.7	3.13208e+07	    114503	1.27096e+08	 0.0108425	   5.31844
	      1689	       252	       746	   4998.61	   13066.3	3.14514e+07	    114188	1.28238e+08	 0.0109035	   5.42747
	      1699	       253	       749	   4984.78	   12989.4	3.15813e+07	    113887	1.29377e+08	 0.0109628	    5.5371
	      1709	       254	       752	   4971.09	   12913.3	3.17105e+07	    113598	1.30513e+08	 0.0110204	    5.6473
	      1719	       255	       755	   4957.78	   12838.4	3.18389e+07	    113320	1.31646e+08	 0.0110762	   5.75807
	      1729	       256	       758	   4945.03	   12765.5	3.19665e+07	    113054	1.32777e+08	 0.0111299	   5.86937
	      1739	       257	       761	   4932.62	   12694.4	3.20935e+07	    112803	1.33905e+08	 0.0111812	   5.98118
	      1749	       258	       764	   4920.64	   12625.2	3.22197e+07	    112568	1.35031e+08	 0.0112301	   6.09348
	      1759	       259	       767	   4908.79	   12557.1	3.23453e+07	    112348	1.36154e+08	  0.011277	   6.20625
	      1769	       260	       770	   4897.43	   12490.3	3.24702e+07	    112143	1.37276e+08	 0.0113219	   6.31947
	      1779	       261	       773	   4886.22	   12424.3	3.25944e+07	    111953	1.38395e+08	  0.011365	   6.43312
	      1789	       262	       776	   4875.18	   12358.9	3.2718e+07	    111774	1.39513e+08	 0.0114066	   6.54718
	      1799	       263	       779	   4864.59	   12294.5	3.2841e+07	    111608	1.40629e+08	 0.0114466	   6.66165
	      1809	       264	       782	   4853.94	   12230.6	3.29633e+07	    111452	1.41743e+08	 0.0114853	    6.7765
	      1819	       265	       785	   4843.77	   12167.6	3.30849e+07	    111306	1.42856e+08	 0.0115226	   6.89173
	      1829	       266	       788	   4833.64	   12105.1	3.3206e+07	    111171	1.43968e+08	 0.0115588	   7.00732
	   1829.25	       267	       790	   4833.42	   12103.5	3.3209e+07	    111167	1.43996e+08	 0.0115595	   7.01021
	   1830.25	       268	       792	    4832.4	   12097.3	3.32211e+07	    111154	1.44107e+08	 0.0115631	   7.02177
	   1832.25	       269	       794	    4830.4	   12084.8	3.32453e+07	    111127	1.44329e+08	 0.0115703	   7.04491
	   1836.25	       270	       796	   4826.39	   12060.3	3.32935e+07	    111074	1.44774e+08	 0.0115844	   7.09125
	   1844.25	       271	       799	   4818.51	   12010.9	3.33896e+07	    110975	1.45661e+08	 0.0116121	   7.18414
	   1854.25	       272	       802	   4808.98	     11950	3.35091e+07	    110861	1.4677e+08	 0.0116455	    7.3006
	   1864.25	       273	       805	   4799.66	   11889.9	3.3628e+07	    110756	1.47878e+08	 0.0116776	   7.41737
	   1874.25	       274	       808	   4790.36	   11830.4	3.37463e+07	    110658	1.48984e+08	 0.0117087	   7.53446
	   1884.25	       275	       811	   4781.27	   11771.3	3.3864e+07	    110568	1.5009e+08	  0.011739	   7.65185
	   1894.25	       276	       814	   4772.31	   11713.5	3.39812e+07	    110490	1.51195e+08	 0.0117676	   7.76953
	   1904.25	       277	       817	   4763.61	   11655.8	3.40977e+07	    110421	1.52299e+08	 0.0117952	   7.88748
	   1914.25	       278	       820	   4755.02	   11597.9	3.42137e+07	    110362	1.53403e+08	 0.0118221	    8.0057
	   1924.25	       279	       823	   4746.54	   11544.2	3.43291e+07	    110357	1.54506e+08	 0.0118481	   8.12418
	   1934.25	       280	       826	    4738.1	   11491.6	3.44441e+07	    110442	1.55611e+08	 0.0118794	   8.24298
	   1944.25	       281	       829	   4729.62	   11439.8	3.45585e+07	    110510	1.56716e+08	 0.0119109	   8.36209
	   1954.25	       282	       832	   4721.18	   11389.3	3.46723e+07	    110568	1.57821e+08	 0.0119421	   8.48151
	   1964.25	       283	       835	   4712.92	   11339.7	3.47857e+07	    110619	1.58928e+08	 0.0119728	   8.60123
	   1974.25	       284	       838	   4704.71	     11291	3.48987e+07	    110667	1.60034e+08	  0.012003	   8.72126
	   1984.25	       285	       841	   4696.52	   11242.8	3.50111e+07	    110714	1.61141e+08	 0.0120329	   8.84159
	   1994.25	       286	       844	   4688.35	   11195.1	3.5123e+07	    110758	1.62249e+08	 0.0120624	   8.96222
	   2004.25	       287	       847	   4680.19	   11147.6	3.52345e+07	    110801	1.63357e+08	 0.0120917	   9.08313
	   2014.25	       288	       850	   4672.04	   11100.3	3.53455e+07	    110842	1.64465e+08	 0.0121209	   9.20434
	   2024.25	       289	       853	   4663.91	   11053.3	3.5456e+07	    110880	1.65574e+08	   0.01215	   9.32584
	   2034.25	       290	       856	   4655.79	   11006.5	3.55661e+07	    110915	1.66683e+08	 0.0121789	   9.44763
