The 1th Row
	      TIME	    NRiter	    LSiter	       FPR	      FOPR	      FOPT	      FGPR	      FGPT	      FWPR	      FWPT
	       DAY	          	          	      PSIA	   STB/DAY	       STB	  MSCF/DAY	      MSCF	   STB/DAY	       STB
	          	          	          	          	          	          	          	          	          	          
	    116.11	         1	         2	    5066.8	     20000	2.3222e+06	   24473.6	2.90993e+06	0.00628927	  0.716895
	    117.11	         1	         2	   5069.38	     20000	2.3422e+06	   24489.8	2.93442e+06	0.00627152	  0.723167
	    118.11	         1	         2	   5071.95	     20000	2.3622e+06	   24505.8	2.95893e+06	0.00625399	  0.729421
	    119.11	         1	         2	    5074.5	     20000	2.3822e+06	   24521.7	2.98345e+06	0.00623663	  0.735657
	    120.11	         1	         2	   5077.04	     20000	2.4022e+06	   24537.5	3.00798e+06	0.00621942	  0.741877
	    121.11	         1	         2	   5079.59	     20000	2.4222e+06	   24553.1	3.03254e+06	0.00620235	  0.748079
	    122.11	         1	         2	   5082.12	     20000	2.4422e+06	   24568.6	3.05711e+06	0.00618541	  0.754264
	    123.11	         1	         2	   5084.64	     20000	2.4622e+06	     24584	3.08169e+06	0.00616856	  0.760433
	    124.11	         1	         2	   5087.14	     20000	2.4822e+06	   24599.4	3.10629e+06	0.00615182	  0.766585
	    125.11	         1	         2	   5089.61	     20000	2.5022e+06	   24614.7	3.1309e+06	0.00613516	   0.77272
	    126.11	         1	         2	   5092.08	     20000	2.5222e+06	   24629.9	3.15553e+06	0.00611856	  0.778838
	    127.11	         1	         2	   5094.52	     20000	2.5422e+06	     24645	3.18018e+06	0.00610202	   0.78494
	    128.11	         1	         2	   5096.95	     20000	2.5622e+06	   24660.2	3.20484e+06	0.00608553	  0.791026
	    129.11	         1	         2	   5099.35	     20000	2.5822e+06	   24675.2	3.22951e+06	0.00606909	  0.797095
	    130.11	         1	         2	   5102.18	     20000	2.6022e+06	   24690.3	3.2542e+06	0.00605268	  0.803148
	    131.11	         1	         2	   5104.81	     20000	2.6222e+06	   24705.3	3.27891e+06	0.00603628	  0.809184
